CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
,,CASTILLO-MAMANI-WILBERTH,MI,[14-16],P,,EC-203,2,
,,CASTILLO-MAMANI-WILBERTH,VI,[10-11],T,,EC-204,1,
41,EC603BEO,ECONOMETRÍA I,,4,OEFE,ME176,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,,MA,[16-18],T,,EC-204,2,
,,,JU,[16-18],P,,EC-204,2,
,,,VI,[17-18],T,,EC-204,1,
42,EC604AEO,INGENIERÍA ECONÓMICA,,4,OEFE,EC602,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ESTRADA-CUNO-WILBERT,LU,[11-13],T,,EC-204,2,
,,ESTRADA-CUNO-WILBERT,MI,[11-13],P,,EC-204,2,
,,ESTRADA-CUNO-WILBERT,JU,[15-16],T,,EC-304,1,
43,EC604BEO,INGENIERÍA ECONÓMICA,,4,OEFE,EC602,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,BARRIENTOS-GUZMAN-WILVERT,LU,[18-20],T,,EC-204,2,
,,BARRIENTOS-GUZMAN-WILVERT,MI,[18-20],P,,EC-204,2,
,,BARRIENTOS-GUZMAN-WILVERT,JU,[18-19],T,,EC-204,1,
44,EC607AEO,INVESTIGACIÓN ECONÓMICA I,,4,OEFE,55 Creds.,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,GARCIA-PACHECO-RUTH MERCEDES,MA,[07-09],T,,EC-204,2,
,,GARCIA-PACHECO-RUTH MERCEDES,JU,[07-09],P,,EC-204,2,
,,GARCIA-PACHECO-RUTH MERCEDES,VI,[08-09],T,,EC-204,1,
45,EC607BEO,INVESTIGACIÓN ECONÓMICA I,,4,OEFE,55 Creds.,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,,MA,[14-16],T,,EC-204,2,
,,,JU,[14-16],P,,EC-204,2,
,,,VI,[15-16],T,,EC-204,1,
46,EC606AEO,MACROECONOMÍA II,,4,OEFE,EC601,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,BALLON-PINARES-JUSTINO,LU,[07-09],T,,EC-204,2,
,,BALLON-PINARES-JUSTINO,MI,[07-09],P,,EC-204,2,
,,BALLON-PINARES-JUSTINO,VI,[07-08],T,,EC-204,1,
47,EC606BEO,MACROECONOMÍA II,,4,OEFE,EC601,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SALAS-PEÑA-CARLOS,LU,[14-16],T,,EC-204,2,
,,SALAS-PEÑA-CARLOS,MI,[14-16],P,,EC-204,2,
,,SALAS-PEÑA-CARLOS,VI,[14-15],T,,EC-204,1,
